xr_person_id,zh_state,zh_district,xh_urban_rural,zh_urban_rural2,zh_member_number,xr_age_final,xr_gender_final,xr_has_aadhaar,zh_state_district,zr_elderly,zh_homeless,zh_laborer,zh_migrant_laborer,zr_third_gender,zh_secc_classification,xh_mem_weight,zh_hh_num_members,zh_caste,zh_religion,xh_enroled_in_school_flag,xh_school_admission_aadhaar_mandatory,xh_school_admission_aadhaar_of_child,xh_school_admission_aadhaar_of_father,xh_school_admission_aadhaar_of_guardian,xh_school_admission_aadhaar_of_mother,xh_school_admission_denied_due_to_aadhaar,xh_school_admission_produced_aadhaar_flag,xh_school_has_mdm_program_flag,xh_school_mdm_denied_due_to_aadhaar,xh_want_to_enrol_in_school,zh_denial_not_enroled_in_school_reason,zh_school_enrolment_date,zr_age_bucket1,zr_age_bucket2,zr_age_bucket3,zr_age_bucket4
P0102417122,Punjab,Ludhiana,Rural (S),Rural,1,38,Male,Yes,Punjab_Ludhiana,No,No,Yes,No,No,Automatically excluded,25440.2708414261,6,General,Sikh,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0102417122,Punjab,Ludhiana,Rural (S),Rural,2,36,Female,Yes,Punjab_Ludhiana,No,No,Yes,No,No,Automatically excluded,25440.2708414261,6,General,Sikh,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0102417122,Punjab,Ludhiana,Rural (S),Rural,3,18,Male,Yes,Punjab_Ludhiana,No,No,Yes,No,No,Automatically excluded,25440.2708414261,6,General,Sikh,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0102417122,Punjab,Ludhiana,Rural (S),Rural,4,17,Female,Yes,Punjab_Ludhiana,No,No,Yes,No,No,Automatically excluded,8679.55120613806,6,General,Sikh,Yes,Mandatory,Child,,,Father,No,Yes,No,,,,2019-04-15,6 to 17 years old,6 to 17 years old,Children,Children
P0102417122,Punjab,Ludhiana,Rural (S),Rural,5,15,Female,Yes,Punjab_Ludhiana,No,No,Yes,No,No,Automatically excluded,8679.55120613806,6,General,Sikh,Yes,Mandatory,Child,,,Father,No,Yes,No,,,,2019-04-15,6 to 17 years old,6 to 17 years old,Children,Children
P0102417122,Punjab,Ludhiana,Rural (S),Rural,6,13,Female,Yes,Punjab_Ludhiana,No,No,Yes,No,No,Automatically excluded,8679.55120613806,6,General,Sikh,Yes,Mandatory,Child,,,Father,No,Yes,No,,,,2019-04-15,6 to 17 years old,6 to 17 years old,Children,Children
P0102417635,Jharkhand,Jamtara,Urban (S),Urban,1,23,Male,Yes,Jharkhand_Jamtara,No,No,Yes,Yes,No,General,34325.939486099,1,SC,Muslim,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0102418221,Jharkhand,Jamtara,Urban (S),Urban,1,32,Male,Yes,Jharkhand_Jamtara,No,No,Yes,Yes,No,General,34325.939486099,1,SC,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0102418753,Rajasthan,Kota,Urban (S),Urban,1,50,Male,Yes,Rajasthan_Kota,No,No,Yes,No,No,Automatically excluded,49339.0993247189,7,Non-vulnerable ST,Muslim,,,,,,,,,,,,,,41 to 55 years old,18 to 70 years old,Adults,Adults
P0102418753,Rajasthan,Kota,Urban (S),Urban,2,45,Female,Yes,Rajasthan_Kota,No,No,Yes,No,No,Automatically excluded,49339.0993247189,7,Non-vulnerable ST,Muslim,,,,,,,,,,,,,,41 to 55 years old,18 to 70 years old,Adults,Adults
P0102418753,Rajasthan,Kota,Urban (S),Urban,3,24,Male,Yes,Rajasthan_Kota,No,No,Yes,No,No,Automatically excluded,49339.0993247189,7,Non-vulnerable ST,Muslim,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0102418753,Rajasthan,Kota,Urban (S),Urban,4,22,Female,Yes,Rajasthan_Kota,No,No,Yes,No,No,Automatically excluded,49339.0993247189,7,Non-vulnerable ST,Muslim,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0102418753,Rajasthan,Kota,Urban (S),Urban,5,21,Male,Yes,Rajasthan_Kota,No,No,Yes,No,No,Automatically excluded,49339.0993247189,7,Non-vulnerable ST,Muslim,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0102418753,Rajasthan,Kota,Urban (S),Urban,6,5,Female,Yes,Rajasthan_Kota,No,No,Yes,No,No,Automatically excluded,27659.9198084724,7,Non-vulnerable ST,Muslim,Yes,Mandatory,Child,,,Guardian,No,Yes,Yes,Yes,,,2017-07-15,0 to 5 years old,0 to 5 years old,Children,Children
P0102418753,Rajasthan,Kota,Urban (S),Urban,7,3,Female,Yes,Rajasthan_Kota,No,No,Yes,No,No,Automatically excluded,27659.9198084724,7,Non-vulnerable ST,Muslim,No,,,,,,,,,,No,,,0 to 5 years old,0 to 5 years old,Children,Children
P0102418776,Bihar,Patna,Rural (S),Rural,1,40,Male,Yes,Bihar_Patna,No,No,Yes,No,No,Automatically excluded,86140.2457846739,5,SC,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0102418776,Bihar,Patna,Rural (S),Rural,2,19,Male,Yes,Bihar_Patna,No,No,Yes,No,No,Automatically excluded,86140.2457846739,5,SC,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0102418776,Bihar,Patna,Rural (S),Rural,3,30,Male,Yes,Bihar_Patna,No,No,Yes,No,No,Automatically excluded,86140.2457846739,5,SC,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0102418776,Bihar,Patna,Rural (S),Rural,4,40,Female,Yes,Bihar_Patna,No,No,Yes,No,No,Automatically excluded,86140.2457846739,5,SC,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0102418776,Bihar,Patna,Rural (S),Rural,5,17,Female,Yes,Bihar_Patna,No,No,Yes,No,No,Automatically excluded,111493.669287411,5,SC,Hindu,Yes,Mandatory,Child,,,,No,Yes,No,,,,2017-10-15,6 to 17 years old,6 to 17 years old,Children,Children
P0102418959,West Bengal,Purba Midnapur,Urban (S),Urban,1,80,Female,Yes,West Bengal_Purba Midnapur,No,No,Yes,No,No,General,95244.2733568813,3,General,Hindu,,,,,,,,,,,,,,Elderly (71 and above),Elderly (71 and above),Elderly (71 and above),Adults
P0102418959,West Bengal,Purba Midnapur,Urban (S),Urban,2,35,Female,Yes,West Bengal_Purba Midnapur,No,No,Yes,No,No,General,95244.2733568813,3,General,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
